LAT,LON,YEAR,MO,DY,T2MWET,TS,QV2M
51.48831,-0.18689,2000,01,01,    6.48,    6.47,    5.95
51.48831,-0.18689,2000,01,02,    7.23,    7.52,    6.27
51.48831,-0.18689,2000,01,03,    7.98,    8.38,    6.67
51.48831,-0.18689,2000,01,04,    3.27,    3.48,    4.83
51.48831,-0.18689,2000,01,05,    5.99,    6.45,    5.85
51.48831,-0.18689,2000,01,06,    7.08,    7.29,    6.29
51.48831,-0.18689,2000,01,07,    5.87,    6.69,    5.75
51.48831,-0.18689,2000,01,08,    5.43,    6.11,    5.60
51.48831,-0.18689,2000,01,09,    1.75,    1.82,    4.24
51.48831,-0.18689,2000,01,10,    2.26,    2.94,    4.40
51.48831,-0.18689,2000,01,11,    6.09,    6.58,    5.73
51.48831,-0.18689,2000,01,12,    4.31,    5.66,    5.12
51.48831,-0.18689,2000,01,13,    2.34,    3.44,    4.50
51.48831,-0.18689,2000,01,14,    1.77,    2.83,    4.28
51.48831,-0.18689,2000,01,15,    2.54,    3.34,    4.46
51.48831,-0.18689,2000,01,16,    0.94,    1.99,    3.96
51.48831,-0.18689,2000,01,17,    2.09,    2.82,    4.32
51.48831,-0.18689,2000,01,18,    3.92,    4.71,    4.93
51.48831,-0.18689,2000,01,19,    3.20,    3.43,    4.67
51.48831,-0.18689,2000,01,20,    1.38,    1.81,    4.11
51.48831,-0.18689,2000,01,21,    2.36,    3.02,    4.42
51.48831,-0.18689,2000,01,22,    2.17,    3.39,    4.42
51.48831,-0.18689,2000,01,23,    0.94,    2.24,    4.02
51.48831,-0.18689,2000,01,24,    0.43,    1.44,    3.87
51.48831,-0.18689,2000,01,25,   -1.05,    0.04,    3.45
51.48831,-0.18689,2000,01,26,   -1.18,   -0.29,    3.41
51.48831,-0.18689,2000,01,27,   -1.43,   -0.27,    3.35
51.48831,-0.18689,2000,01,28,    2.63,    3.16,    4.62
51.48831,-0.18689,2000,01,29,    8.36,    8.94,    6.91
51.48831,-0.18689,2000,01,30,    8.72,    9.38,    6.99
51.48831,-0.18689,2000,01,31,    7.98,    8.75,    6.60
51.48831,-0.18689,2000,02,01,    7.50,    8.02,    6.43
51.48831,-0.18689,2000,02,02,    4.82,    6.27,    5.34
51.48831,-0.18689,2000,02,03,    4.85,    5.62,    5.27
51.48831,-0.18689,2000,02,04,    7.20,    7.70,    6.19
51.48831,-0.18689,2000,02,05,    5.92,    7.31,    5.70
51.48831,-0.18689,2000,02,06,    8.20,    8.77,    6.74
51.48831,-0.18689,2000,02,07,    5.90,    6.52,    5.81
51.48831,-0.18689,2000,02,08,    5.32,    7.34,    5.69
51.48831,-0.18689,2000,02,09,    3.60,    6.02,    4.88
51.48831,-0.18689,2000,02,10,    3.37,    5.05,    4.90
51.48831,-0.18689,2000,02,11,    3.06,    4.08,    4.69
51.48831,-0.18689,2000,02,12,    4.25,    6.12,    5.13
51.48831,-0.18689,2000,02,13,    2.66,    4.36,    4.60
51.48831,-0.18689,2000,02,14,    4.77,    4.09,    5.39
51.48831,-0.18689,2000,02,15,    4.18,    5.48,    5.13
51.48831,-0.18689,2000,02,16,    1.23,    3.68,    4.19
51.48831,-0.18689,2000,02,17,    2.43,    4.62,    4.56
51.48831,-0.18689,2000,02,18,    5.85,    7.60,    5.82
51.48831,-0.18689,2000,02,19,    2.76,    4.51,    4.64
51.48831,-0.18689,2000,02,20,    0.08,    3.06,    3.76
51.48831,-0.18689,2000,02,21,    2.83,    4.21,    4.62
51.48831,-0.18689,2000,02,22,    2.30,    3.63,    4.48
51.48831,-0.18689,2000,02,23,    7.45,    7.86,    6.38
51.48831,-0.18689,2000,02,24,    6.91,    8.27,    6.18
51.48831,-0.18689,2000,02,25,    1.70,    4.63,    4.24
51.48831,-0.18689,2000,02,26,    2.97,    4.93,    4.68
51.48831,-0.18689,2000,02,27,    7.83,    8.62,    6.57
51.48831,-0.18689,2000,02,28,    4.99,    6.62,    5.47
51.48831,-0.18689,2000,02,29,    5.62,    6.64,    5.73
51.48831,-0.18689,2000,03,01,    2.24,    4.40,    4.48
51.48831,-0.18689,2000,03,02,    4.80,    5.57,    5.42
