country,year,HWF,HWD,HWN,HWA,HWM
AE,1985,3.0,3.0,1,47.0,44.625
AE,1987,5.0,5.0,1,46.6,45.199999999999996
AE,1989,6.0,6.0,1,46.5,45.31428571428571
AE,1990,3.0,3.0,1,46.9,46.325
AE,1993,3.0,3.0,1,46.0,44.675000000000004
AE,1995,3.0,3.0,1,47.2,46.375
AE,1998,5.0,5.0,1,48.8,47.48333333333334
AE,2001,5.0,5.0,1,47.8,46.71666666666667
AE,2007,4.0,4.0,1,46.0,45.2
AE,2013,3.0,3.0,1,47.7,46.75
AE,2015,3.0,3.0,1,47.0,46.65
AE,2016,3.0,3.0,1,49.2,47.2
AE,2019,3.0,3.0,1,45.8,45.45
AF,2003,5.0,5.0,1,39.3,37.483333333333334
AF,2006,3.0,3.0,1,44.0,44.0
AF,2010,4.0,4.0,1,46.0,44.2
AF,2012,4.0,4.0,1,47.0,44.6
AF,2014,5.0,5.0,1,45.0,43.166666666666664
AF,2017,5.0,5.0,1,46.2,43.11666666666667
AF,2018,3.0,3.0,1,44.0,42.75
AL,1980,7.0,7.0,1,36.0,34.875
AL,1981,4.0,4.0,1,40.0,37.4
AL,1985,3.0,3.0,1,35.7,34.875
AL,1987,7.0,4.0,2,40.8,37.2375
AL,2013,7.0,7.0,1,35.4,34.3125
AL,2014,4.0,4.0,1,35.5,34.14
AL,2015,4.0,4.0,1,37.5,37.019999999999996
AL,2016,3.0,3.0,1,35.9,35.45
AL,2019,3.0,3.0,1,38.5,35.825
AM,1980,7.0,7.0,1,39.9,37.862500000000004
AM,1981,5.0,5.0,1,38.5,37.516666666666666
AM,1982,4.0,4.0,1,36.5,35.480000000000004
AM,1985,11.0,8.0,2,37.9,36.15138888888889
AM,1986,7.0,7.0,1,37.5,36.7375
AM,1987,3.0,3.0,1,36.4,35.574999999999996
AM,1989,6.0,6.0,1,39.0,37.89999999999999
AM,1996,13.0,6.0,3,37.4,34.839285714285715
AM,1998,3.0,3.0,1,38.1,35.525
AM,1999,4.0,4.0,1,40.0,39.239999999999995
AM,2000,4.0,4.0,1,39.0,38.12
AM,2002,3.0,3.0,1,37.0,35.65
AM,2003,4.0,4.0,1,41.1,38.28
AM,2004,6.0,6.0,1,36.2,35.385714285714286
AM,2006,5.0,5.0,1,40.0,38.666666666666664
AM,2008,9.0,9.0,1,39.2,36.82
AM,2009,6.0,6.0,1,36.5,35.385714285714286
AM,2011,4.0,4.0,1,40.0,37.28
AM,2012,10.0,6.0,2,38.4,37.04
AM,2013,6.0,3.0,2,37.0,34.825
AM,2014,3.0,3.0,1,39.0,37.25
AM,2015,8.0,5.0,2,40.0,39.16666666666667
AM,2016,9.0,5.0,2,41.5,37.40833333333333
