,alpha2_code,Year,Seq,Entry Criteria,Country,ISO,Region,Continent,Location,Dis Mag Value,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,Total Affected,Total Damages ('000 US$),CPI,Year_10,start_year_month,lastdays
0,CA,1936,6,Kill,Canada,CAN,Northern America,Americas,Nationwide (except Yukon and Nothwest territories),,1936,7.0,6.0,1936,7.0,6.0,500.0,,,,,5.4399968239674,1930,1936-07,0.0
1,CA,2018,195,Kill,Canada,CAN,Northern America,Americas,"Gatineau, Montréal, Joliette, Saint-Hyacinthe, Saint-Jean-sur-Richelieu, Drummondville, Sherbrooke ,Outaouais, Laurentides, Lanaudière, Victoriaville Trois-Rivières, Québec, La Malbaie, Kamouraska, l’Abitibi-Témiscamingue, Saguenay—Lac-Saint-Jean (Quebec)",37.0,2018,6.0,29.0,2018,7.0,5.0,70.0,,,,,98.2199906178672,2010,2018-06,6.0
2,IN,1953,42,Kill,India,IND,Southern Asia,Asia,,,1953,6.0,,1953,6.0,,400.0,,,,,10.4886269699515,1950,1953-06,
3,IN,1958,31,Kill,India,IND,Southern Asia,Asia,,,1958,5.0,,1958,5.0,,651.0,,,,,11.2878924132663,1950,1958-05,
4,IN,1965,96,Kill,India,IND,Southern Asia,Asia,,,1965,6.0,,1965,6.0,,100.0,,,,,12.3244326683639,1960,1965-06,
5,IN,1978,63,Kill,India,IND,Southern Asia,Asia,,,1978,5.0,,1978,5.0,,150.0,,,,,25.5159153234703,1970,1978-05,
6,IN,1979,45,Kill,India,IND,Southern Asia,Asia,Bihar,,1979,5.0,,1979,5.0,,300.0,,,,,28.3875988971359,1970,1979-05,
7,IN,1979,61,Kill,India,IND,Southern Asia,Asia,Rajasthan,,1979,7.0,,1979,7.0,,100.0,,,,,28.3875988971359,1970,1979-07,
8,IN,1980,357,Kill,India,IND,Southern Asia,Asia,"Bihar, Uttar Pradesh states",40.0,1980,4.0,29.0,1980,4.0,29.0,50.0,,,,,32.2338932328122,1980,1980-04,0.0
9,IN,1985,69,Kill,India,IND,Southern Asia,Asia,Bihar,46.0,1985,6.0,6.0,1985,6.0,6.0,103.0,,,,,42.0745267678182,1980,1985-06,0.0
10,IN,1987,104,Kill,India,IND,Southern Asia,Asia,Rajasthan,,1987,6.0,,1987,6.0,,100.0,,,,,44.44423842484,1980,1987-06,
11,IN,1988,183,Kill,India,IND,Southern Asia,Asia,"Northern, Western, Central India",,1988,5.0,,1988,5.0,,418.0,200.0,,200.0,,46.256556831435,1980,1988-05,
12,IN,1988,190,Kill,India,IND,Southern Asia,Asia,Rajasthan,,1988,5.0,,1988,5.0,,32.0,,,,,46.256556831435,1980,1988-05,
13,IN,1994,624,Kill,India,IND,Southern Asia,Asia,"New Delhi, Rajasthan, Madhya Pradesh",49.0,1994,5.0,,1994,5.0,,161.0,,,,,57.9779742380726,1990,1994-05,
14,IN,1995,112,Kill,India,IND,Southern Asia,Asia,"Bihar, Punjab, Haryana and Jammu, Kashmir, Tamil Nadu, Maharashtra, Orissa, Uttar Pradesh, New Delhi, Rajasthan, Madhya Pradesh",50.0,1995,5.0,8.0,1995,6.0,21.0,558.0,,,,,59.6044948945252,1990,1995-05,44.0
15,IN,1998,217,Kill,India,IND,Southern Asia,Asia,"Orissa, Andhra Pradesh, Rajasthan, Madhya Pradesh, Uttar Pradesh, Gujarat states",50.0,1998,5.0,26.0,1998,5.0,26.0,2541.0,,,,,63.7604552373995,1990,1998-05,0.0
16,IN,1999,125,Kill,India,IND,Southern Asia,Asia,"Orissa, Andhra Pradesh, Gujurat, Uttar Pradesh",47.0,1999,4.0,,1999,4.0,,140.0,,,,,65.1555468615283,1990,1999-04,
